City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,winnipeg,49.8844,-97.147,-1.61,78,32,5.81,CA,1698523834
115,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,59,0,3.0,RU,1698523406
116,ketchikan,55.3422,-131.6461,7.26,70,0,4.12,US,1698523560
117,qusmuryn,52.4503,64.6311,1.2,98,100,3.95,KZ,1698523950
118,ierapetra,35.01,25.7353,22.86,76,0,1.34,GR,1698523951
119,uturoa,-16.7333,-151.4333,26.31,77,95,5.97,PF,1698523298
120,salatiga,-7.3319,110.4928,22.33,83,14,1.39,ID,1698523952
121,atarrabia,42.8323,-1.6074,17.08,55,0,9.26,ES,1698523952
122,cabo san lucas,22.8909,-109.9124,28.61,57,0,5.66,MX,1698523953
123,porcuna,37.871,-4.185,16.2,65,50,2.75,ES,1698523953
124,ilulissat,69.2167,-51.1,-3.99,74,20,6.69,GL,1698523954
125,badger,64.8,-147.5333,-3.44,85,0,0.0,US,1698523236
126,chui,-33.6971,-53.4616,21.94,75,26,2.71,UY,1698523687
127,kodiak,57.79,-152.4072,7.73,93,100,6.69,US,1698523955
128,taoudenni,22.6783,-3.9836,34.04,10,0,3.39,ML,1698523956
129,porto novo,6.4965,2.6036,27.9,81,0,2.41,BJ,1698523956
130,mwinilunga,-11.7358,24.4293,17.8,82,99,1.13,ZM,1698523957
131,norilsk,69.3535,88.2027,-18.01,97,68,0.23,RU,1698523684
132,pisco,-13.7,-76.2167,23.03,68,20,4.63,PE,1698523882
133,otofuke,42.9917,143.2003,9.25,92,100,1.24,JP,1698523958
134,suntar,62.1444,117.6319,-7.29,90,96,2.25,RU,1698523940
135,east london,-33.0153,27.9116,13.68,82,100,9.07,ZA,1698523434
136,enewetak,11.3474,162.3373,28.25,74,91,4.38,MH,1698523445
137,mirny,62.5353,113.9611,-8.2,85,50,4.96,RU,1698523960
138,walvis bay,-22.9575,14.5053,13.86,86,6,5.41,NA,1698523960
139,iqaluit,63.7506,-68.5145,-12.15,78,20,4.12,CA,1698523960
140,alice springs,-23.7,133.8833,10.75,16,97,2.57,AU,1698523961
141,lhokseumawe,5.1801,97.1507,25.13,88,18,1.21,ID,1698523961
142,hithadhoo,-0.6,73.0833,27.18,82,52,8.02,MV,1698523430
143,talakan,50.3167,130.3667,-0.56,64,1,1.7,RU,1698523962
144,hawaiian paradise park,19.5933,-154.9731,28.28,75,40,3.09,US,1698523962
145,katsuura,35.1333,140.3,16.07,70,36,5.68,JP,1698523963
146,bejaia,36.7559,5.0843,18.59,84,69,0.81,DZ,1698523761
147,georgetown,5.4112,100.3354,25.96,89,20,0.0,MY,1698523855
148,susuman,62.7833,148.1667,-17.23,99,92,0.45,RU,1698523427
149,anjozorobe,-18.4,47.8667,17.94,93,98,1.65,MG,1698523964
150,san julian,21.0167,-102.1667,25.04,35,71,2.92,MX,1698523964
151,san patricio,28.017,-97.5169,33.42,54,42,7.02,US,1698523965
152,ebon,4.582,168.6964,28.36,75,47,4.55,MH,1698523965
153,naas,53.2158,-6.6669,11.69,91,100,5.5,IE,1698523966
154,fatehabad,29.5167,75.45,23.1,28,65,2.76,IN,1698523966
155,labuan bajo,-8.4964,119.8877,24.56,80,58,1.64,ID,1698523966
156,afaahiti,-17.75,-149.2833,26.93,75,95,2.55,PF,1698523619
157,qaqortoq,60.7167,-46.0333,0.31,81,20,1.55,GL,1698523579
158,saudarkrokur,65.7461,-19.6394,-0.07,82,93,2.93,IS,1698523967
159,fria,10.4167,-13.5833,25.12,95,33,1.47,GN,1698523967
160,rongelap,11.1635,166.8941,28.29,78,16,6.48,MH,1698523968
161,haiku-pauwela,20.9219,-156.3051,28.98,62,40,8.23,US,1698523509
162,wailua homesteads,22.0669,-159.378,27.24,70,13,1.79,US,1698523425
163,hoemul-li,41.4339,129.67,7.39,50,4,1.74,KP,1698523969
164,westport,41.1415,-73.3579,28.3,62,6,1.34,US,1698523783
165,ghat,24.9647,10.1728,28.36,18,35,1.47,LY,1698523548
166,ambalangoda,6.2355,80.0538,24.84,91,100,2.08,LK,1698523970
167,lebu,-37.6167,-73.65,11.2,83,87,8.57,CL,1698523834
168,tindouf,27.6711,-8.1474,25.25,36,0,5.14,DZ,1698523971
169,naze,28.3667,129.4833,19.19,63,0,4.77,JP,1698523971
170,popondetta,-8.7537,148.2534,22.88,96,100,1.44,PG,1698523971
171,phimai,15.2232,102.4947,28.95,84,100,0.6,TH,1698523972
172,touros,-5.1989,-35.4608,26.48,69,16,7.01,BR,1698523266
173,pierre,44.3683,-100.351,-1.75,71,100,4.12,US,1698523517
174,usogorsk,63.4106,48.6872,-3.52,83,100,4.1,RU,1698523461
175,odda,60.0691,6.5457,5.98,85,9,3.24,NO,1698523973
176,arraial do cabo,-22.9661,-42.0278,25.98,88,75,8.75,BR,1698523319
177,ola,59.5833,151.2833,-1.98,70,89,3.09,RU,1698523974
178,chernyshevskiy,63.0128,112.4714,-8.85,82,98,3.66,RU,1698523943
179,porto murtinho,-21.6989,-57.8825,31.37,52,93,6.31,BR,1698523975
180,la ronge,55.1001,-105.2842,-2.88,63,75,4.63,CA,1698523408
181,palompon,11.0508,124.3843,26.31,84,46,2.42,PH,1698523975
182,port elizabeth,-33.918,25.5701,12.95,68,92,3.13,ZA,1698523976
183,palikir - national government center,6.9248,158.1611,23.41,94,100,2.06,FM,1698523860
184,howrah,22.5892,88.3103,24.0,83,20,0.0,IN,1698523364
185,saldanha,-33.0117,17.9442,15.03,64,0,10.39,ZA,1698523977
186,la passe,45.5549,-0.8967,18.34,85,100,10.17,FR,1698523641
187,paita,-5.0892,-81.1144,23.02,75,61,6.85,PE,1698523978
188,nadi,-17.8,177.4167,27.0,69,20,1.03,FJ,1698523978
189,sergach,55.5308,45.4661,0.51,99,100,6.48,RU,1698523979
190,lerwick,60.1545,-1.1494,8.0,65,30,10.16,GB,1698523979
191,st. john's,47.5649,-52.7093,13.87,95,98,2.24,CA,1698523298
192,auki,-8.7676,160.7034,25.68,88,71,1.57,SB,1698523604
193,puerto deseado,-47.7503,-65.8938,16.16,25,75,11.76,AR,1698523654
194,obo,5.3998,26.4869,20.63,92,100,1.48,CF,1698523980
195,bredasdorp,-34.5322,20.0403,14.05,46,100,6.81,ZA,1698523880
196,port alfred,-33.5906,26.891,14.17,67,100,10.38,ZA,1698523981
197,iquique,-20.2208,-70.1431,20.02,71,80,3.24,CL,1698523226
198,saynshand,44.8824,110.1163,6.55,38,27,4.94,MN,1698523982
199,umluj,25.0213,37.2685,28.77,52,82,9.96,SA,1698523982
200,cerro largo,-28.1486,-54.7381,19.17,98,100,4.07,BR,1698523983
201,west island,-12.1568,96.8225,25.99,73,100,8.75,CC,1698523196
202,labytnangi,66.6572,66.4183,-11.7,89,89,1.82,RU,1698523639
203,kailua-kona,19.6406,-155.9956,30.89,65,20,5.14,US,1698523984
204,santa maria da vitoria,-13.3947,-44.1886,38.16,18,63,2.88,BR,1698523984
205,jeddah,21.5169,39.2192,25.92,69,20,0.0,SA,1698523985
206,kievka,50.2619,71.5514,1.41,97,100,5.46,KZ,1698523985
207,lorengau,-2.0226,147.2712,27.1,84,94,3.97,PG,1698523255
208,medina,24.4686,39.6142,24.24,60,40,5.66,SA,1698523986
209,canto do buriti,-8.11,-42.9444,38.78,16,33,5.22,BR,1698523725
210,mufulira,-12.5498,28.2407,22.57,53,72,1.97,ZM,1698523987
211,praia da vitoria,38.7333,-27.0667,18.14,63,40,9.84,PT,1698523436
212,fuerte olimpo,-21.0415,-57.8738,37.97,30,89,5.59,PY,1698523988
213,mazabuka,-15.856,27.748,26.77,32,5,2.52,ZM,1698523989
214,oasis,33.4659,-116.0989,31.02,29,0,2.57,US,1698523989
215,atafu village,-8.5421,-172.5159,28.38,74,39,4.21,TK,1698523990
216,minab,27.1467,57.0801,28.12,62,0,1.18,IR,1698523990
217,tirana,41.3275,19.8189,16.49,88,40,1.54,AL,1698523991
218,klyuchi,52.2667,79.1667,-1.75,54,100,3.96,RU,1698523991
219,kasane,-17.8167,25.15,28.95,17,48,3.6,BW,1698523671
220,kalmunai,7.4167,81.8167,25.98,82,81,0.83,LK,1698523668
221,fale old settlement,-9.3852,-171.2468,28.3,75,45,4.68,TK,1698523412
222,dakhla,23.6848,-15.958,21.02,88,3,7.87,EH,1698523672
223,nova vicosa,-17.8919,-39.3719,26.39,78,99,6.43,BR,1698523994
224,ulladulla,-35.35,150.4667,12.22,62,0,2.47,AU,1698523994
225,ad dabbah,18.05,30.95,30.58,17,49,4.0,SD,1698523995
226,mutuali,-14.8706,37.0044,26.24,38,42,1.73,MZ,1698523995
227,cill airne,52.05,-9.5167,9.28,92,100,1.37,IE,1698523996
228,wynyard,-41.0,145.7167,9.01,78,99,1.35,AU,1698523456
229,geneina,13.45,22.45,30.48,24,90,1.81,SD,1698523997
230,xunchang,28.4543,104.715,16.39,86,100,0.83,CN,1698523997
231,portland,45.5234,-122.6762,12.54,45,0,6.69,US,1698523533
232,kidal,18.4411,1.4078,30.23,10,54,3.65,ML,1698523993
233,alaghsas,17.0187,8.0168,28.47,11,33,3.03,NE,1698523630
234,playa del ingles,27.7567,-15.5787,23.86,82,64,0.89,ES,1698523999
235,faya-largeau,17.9257,19.1043,29.15,14,32,5.42,TD,1698523999
236,cangzhou,38.3167,116.8667,15.44,67,10,2.69,CN,1698524000
237,ruteng,-8.6136,120.4721,15.89,85,34,0.89,ID,1698524001
238,carutapera,-1.195,-46.02,29.08,69,13,5.93,BR,1698523508
239,jinchang,38.4953,102.1739,8.65,35,7,0.36,CN,1698524002
240,zelenoborskiy,66.845,32.3622,-2.71,91,95,3.56,RU,1698524002
241,smithville,39.3869,-94.5811,6.08,87,100,3.09,US,1698523972
242,al bawiti,28.3492,28.8659,23.86,32,98,3.32,EG,1698523569
243,college,64.8569,-147.8028,-3.39,84,75,1.34,US,1698524004
244,bandarbeyla,9.4942,50.8122,26.36,79,100,4.89,SO,1698524004
245,nuku'alofa,-21.1333,-175.2,24.19,78,20,6.17,TO,1698523634
246,santiago de cao,-7.9589,-79.2392,21.07,78,0,5.14,PE,1698524005
247,sidi bennour,32.6524,-8.4277,18.72,65,89,4.63,MA,1698524006
248,zapala,-38.8992,-70.0544,8.49,64,63,14.58,AR,1698524006
249,mansa,29.9833,75.3833,22.18,31,68,2.48,IN,1698524007
250,kamien pomorski,53.9685,14.7726,8.2,81,100,4.49,PL,1698524007
251,khovd,48.0056,91.6419,-2.55,53,25,0.73,MN,1698524008
252,portel,-1.9356,-50.8211,35.69,35,6,2.9,BR,1698523846
253,utrik,11.2278,169.8474,28.25,78,100,8.51,MH,1698523844
254,klotze,52.6167,11.1667,11.68,93,49,3.15,DE,1698524009
255,anloga,5.7947,0.8973,27.48,79,2,3.66,GH,1698524009
256,al ghayzah,16.2079,52.176,25.82,72,14,2.92,YE,1698524010
257,zemio,5.0314,25.1361,20.26,97,74,0.81,CF,1698524010
258,tadine,-21.55,167.8833,22.37,78,2,7.77,NC,1698524011
259,haradok,55.4624,29.9816,-0.1,96,100,3.36,BY,1698524011
260,ciudad acuna,29.3232,-100.9522,28.16,61,75,4.12,MX,1698524011
261,ust'-kut,56.7938,105.7672,-7.53,52,69,4.02,RU,1698524012
262,shalazhi,43.0978,45.3608,16.64,49,46,2.74,RU,1698524012
263,newman,37.3138,-121.0208,19.02,25,0,5.36,US,1698524013
264,cruz del eje,-30.7264,-64.8039,31.72,26,0,8.22,AR,1698524013
265,igarka,67.4667,86.5833,-14.97,94,75,2.03,RU,1698523494
266,pingliang,35.5392,106.6861,11.02,65,0,1.16,CN,1698524014
267,gadzhiyevo,69.2551,33.3362,-5.7,92,94,1.99,RU,1698523596
268,broken hill,-31.95,141.4333,18.36,20,57,4.69,AU,1698523870
269,richards bay,-28.783,32.0377,18.21,90,100,8.91,ZA,1698523563
270,filadelfia,39.9523,-75.1638,28.48,56,75,5.14,US,1698523839
271,coquimbo,-29.9533,-71.3436,16.23,67,65,3.95,CL,1698524017
272,tangalle,6.024,80.7911,24.96,88,100,1.52,LK,1698523625
273,port blair,11.6667,92.75,27.03,80,53,1.19,IN,1698524018
274,staryy krym,45.0333,35.1,14.39,52,74,2.7,UA,1698524018
275,kerikeri,-35.2268,173.9474,12.73,92,100,2.24,NZ,1698523512
276,tyukhtet,56.5389,89.3011,-5.39,87,97,2.9,RU,1698524019
277,huarmey,-10.0681,-78.1522,22.41,75,94,5.92,PE,1698524019
278,la ligua,-32.4524,-71.2311,17.42,51,100,3.99,CL,1698524020
279,qui nhon,13.7667,109.2333,24.91,91,96,2.33,VN,1698524020
280,la tuque,47.4334,-72.7824,7.14,61,100,4.63,CA,1698524021
281,mangai,-4.05,19.5333,25.06,75,100,0.63,CD,1698524021
282,kupang,-10.1667,123.5833,24.32,94,37,0.0,ID,1698524021
283,ust'-ilimsk,58.0006,102.6619,-3.64,56,100,5.36,RU,1698524022
284,kill devil hills,36.0307,-75.676,26.01,57,0,2.06,US,1698524022
285,holualoa,19.6228,-155.9522,28.82,66,20,5.14,US,1698523844
286,saint-philippe,-21.3585,55.7679,22.77,84,40,3.19,RE,1698524023
287,kuchaiburi,22.2667,86.1667,18.55,66,0,1.03,IN,1698524023
288,port-gentil,-0.7193,8.7815,26.47,84,6,4.18,GA,1698523804
289,lewistown,40.5992,-77.5714,23.53,91,75,0.0,US,1698524024
290,tongouson,5.0214,120.1328,27.25,76,78,1.34,PH,1698524024
291,kikwit,-5.041,18.8162,22.66,92,33,0.61,CD,1698524024
292,kapa'a,22.0752,-159.319,27.99,66,0,2.57,US,1698524025
293,ancud,-41.8697,-73.8203,8.59,73,97,12.27,CL,1698523576
294,taos,36.4072,-105.5731,17.22,35,0,5.66,US,1698524025
295,codrington,-38.2667,141.9667,4.33,94,38,3.42,AU,1698523450
296,kone,-21.0595,164.8658,21.39,78,87,3.16,NC,1698523439
297,vadso,70.0744,29.7487,-1.91,80,75,2.57,NO,1698523999
298,orbetello,42.4408,11.2196,14.01,73,0,1.64,IT,1698524027
299,lice,38.4592,40.6475,16.93,55,6,0.92,TR,1698524028
300,patacamaya,-17.2333,-67.9167,19.84,15,72,5.84,BO,1698524028
301,palmer,42.1584,-72.3287,26.01,51,75,5.14,US,1698523373
302,shitanjing,39.2342,106.3439,9.69,34,0,3.11,CN,1698523993
303,vilhena,-12.7406,-60.1458,29.52,51,81,0.79,BR,1698524029
304,shingu,33.7333,135.9833,11.28,78,0,3.47,JP,1698523674
305,sylacauga,33.1732,-86.2516,28.44,50,100,2.57,US,1698524030
306,ciudad madero,22.2667,-97.8333,29.11,74,75,4.11,MX,1698523820
307,manacapuru,-3.2997,-60.6206,37.62,28,50,1.47,BR,1698524030
308,taulaga,-11.0553,-171.0883,28.28,75,81,4.51,AS,1698524031
309,sinabang,2.4803,96.3801,25.64,87,66,0.89,ID,1698524031
310,buta,2.7858,24.73,21.55,88,79,0.94,CD,1698524031
311,cowra,-33.8333,148.6833,9.23,52,0,1.44,AU,1698524032
312,chita,52.0333,113.55,-3.04,46,40,10.0,RU,1698524032
313,cruz alta,-28.6386,-53.6064,18.35,96,100,5.87,BR,1698524032
314,surkhpur,32.7161,74.4461,19.82,88,4,1.77,PK,1698524033
315,hami,42.8,93.45,9.35,50,1,2.9,CN,1698523553
316,nogliki,51.8333,143.1667,-0.92,79,15,3.13,RU,1698523712
317,tamarin,-20.3256,57.3706,24.18,80,0,1.86,MU,1698524034
318,atherton,53.5237,-2.4935,11.83,94,100,0.89,GB,1698524034
319,sosnogorsk,63.6023,53.8817,-5.81,89,80,2.24,RU,1698524034
320,san pablo villa de mitla,16.9167,-96.4,23.13,45,33,3.02,MX,1698524035
321,mahanje,-9.9333,35.3333,21.13,55,93,1.61,TZ,1698523493
322,general jose de san martin,-26.5374,-59.3416,25.94,83,75,2.71,AR,1698524035
323,luanda,-8.8368,13.2343,27.0,78,100,4.63,AO,1698524036
324,chibougamau,49.9168,-74.3659,-0.21,74,75,6.69,CA,1698524034
325,flying fish cove,-10.4217,105.6791,25.82,83,100,5.14,CX,1698523386
326,veraval,20.9,70.3667,26.96,62,100,1.46,IN,1698524037
327,yurimaguas,-5.9,-76.0833,30.09,66,40,1.54,PE,1698524037
328,lhasa,29.65,91.1,2.16,45,22,1.93,CN,1698524037
329,fomboni,-12.28,43.7425,26.72,80,5,6.61,KM,1698524038
330,mailsi,29.8003,72.1758,25.02,28,61,2.19,PK,1698524038
331,rikaze,29.25,88.8833,3.56,24,6,1.38,CN,1698524038
332,moanda,-1.5575,13.2178,24.61,74,100,0.75,GA,1698524039
333,weno,7.4515,151.8468,26.97,94,100,2.57,FM,1698523571
334,vetapalem,15.7833,80.3167,25.95,83,42,3.54,IN,1698524039
335,mahibadhoo,3.7833,72.9667,27.51,79,66,4.03,MV,1698524040
336,champerico,14.3,-91.9167,32.3,74,78,4.73,GT,1698523715
337,barclayville,4.6797,-8.2339,25.43,88,54,2.71,LR,1698524040
338,yakeshi,49.2833,120.7333,2.6,54,100,1.18,CN,1698524041
339,dompu,-8.5356,118.4622,24.06,93,18,0.39,ID,1698524041
340,qamdo,31.1667,97.2333,-5.38,52,0,0.55,CN,1698523468
341,leer,53.2316,7.461,11.08,95,55,5.38,DE,1698524042
342,san juan de miraflores,-12.1629,-76.9635,22.29,79,100,4.74,PE,1698524042
343,gillette,44.2911,-105.5022,-3.83,67,20,1.54,US,1698523612
344,port augusta,-32.5,137.7667,13.7,82,100,2.93,AU,1698524044
345,sao jose da coroa grande,-8.8978,-35.1478,26.19,68,96,4.52,BR,1698523623
346,adam,22.3756,57.5233,27.21,46,82,2.91,OM,1698524045
347,ormara,25.2088,64.6357,27.01,73,0,4.46,PK,1698524046
348,carnarvon,-24.8667,113.6333,19.38,67,2,10.95,AU,1698524009
349,sao jose de ribamar,-2.5619,-44.0542,30.21,80,8,7.59,BR,1698524046
350,cidreira,-30.1811,-50.2056,21.73,83,100,5.71,BR,1698524014
351,balykshi,47.0667,51.8667,12.0,100,100,4.0,KZ,1698524047
352,tucuma,-0.1833,-50.05,31.07,56,34,5.87,BR,1698523866
353,aras-asan,8.8908,126.3033,25.8,85,89,1.65,PH,1698524048
354,sarupathar,26.1984,93.8094,19.32,94,0,0.48,IN,1698524048
355,jilin,43.0,126.0,2.67,51,12,1.87,CN,1698524049
356,zanjan,36.6736,48.4787,14.16,33,11,1.11,IR,1698524049
357,bozdar wada,27.1828,68.636,28.36,28,11,2.69,PK,1698524049
358,dieppe,49.75,1.1667,14.1,93,100,2.24,FR,1698524050
359,luau,-10.7073,22.2247,19.99,75,15,0.99,AO,1698524050
360,klaksvik,62.2266,-6.589,7.51,79,100,11.13,FO,1698524051
361,tara,56.8944,74.371,-9.05,97,60,1.54,RU,1698524051
362,urengoy,65.9667,78.3667,-11.94,90,91,4.34,RU,1698524051
363,trenggalek,-8.05,111.7167,22.66,93,85,0.45,ID,1698524048
